State, rank41, STATE, 0.005626, 0.005627, 0.000000, 0.000000, MPI_Comm_rank
State, rank41, STATE, 0.005631, 0.006150, 0.000518, 0.000000, MPI_Bcast
State, rank41, STATE, 0.006193, 15.015709, 15.009516, 0.000000, MPI_Scatter
State, rank41, STATE, 15.015710, 35.770384, 20.754673, 0.000000, MPI_Scatter
State, rank41, STATE, 38.581116, 58.971686, 20.390569, 0.000000, MPI_Gather
State, rank41, STATE, 58.971704, 58.979598, 0.007894, 0.000000, MPI_Finalize
State, rank40, STATE, 0.001406, 0.001406, 0.000001, 0.000000, MPI_Comm_size
State, rank40, STATE, 0.001407, 0.001407, 0.000000, 0.000000, MPI_Comm_rank
State, rank40, STATE, 0.001410, 0.013438, 0.012028, 0.000000, MPI_Bcast
State, rank40, STATE, 0.013477, 14.606277, 14.592801, 0.000000, MPI_Scatter
State, rank40, STATE, 14.606279, 35.355912, 20.749633, 0.000000, MPI_Scatter
State, rank40, STATE, 38.266923, 57.581108, 19.314185, 0.000000, MPI_Gather
State, rank40, STATE, 57.581125, 58.979565, 1.398440, 0.000000, MPI_Finalize
State, rank4, STATE, 0.000927, 0.000929, 0.000002, 0.000000, MPI_Comm_size
State, rank4, STATE, 0.000929, 0.000929, 0.000000, 0.000000, MPI_Comm_rank
State, rank4, STATE, 0.000935, 0.004364, 0.003430, 0.000000, MPI_Bcast
State, rank4, STATE, 0.004407, 3.632799, 3.628392, 0.000000, MPI_Scatter
State, rank4, STATE, 3.632799, 24.404782, 20.771982, 0.000000, MPI_Scatter
State, rank4, STATE, 26.889493, 46.855214, 19.965721, 0.000000, MPI_Gather
State, rank4, STATE, 46.855239, 58.977217, 12.121978, 0.000000, MPI_Finalize
State, rank39, STATE, 0.002125, 0.002127, 0.000002, 0.000000, MPI_Comm_size
State, rank39, STATE, 0.002127, 0.002127, 0.000000, 0.000000, MPI_Comm_rank
State, rank39, STATE, 0.002133, 0.014133, 0.012000, 0.000000, MPI_Bcast
State, rank39, STATE, 0.014173, 14.185798, 14.171625, 0.000000, MPI_Scatter
State, rank39, STATE, 14.185799, 34.947468, 20.761669, 0.000000, MPI_Scatter
State, rank39, STATE, 38.396647, 58.922764, 20.526117, 0.000000, MPI_Gather
State, rank39, STATE, 58.922781, 58.979111, 0.056331, 0.000000, MPI_Finalize
State, rank38, STATE, 0.006102, 0.006103, 0.000001, 0.000000, MPI_Comm_size
State, rank38, STATE, 0.006103, 0.006104, 0.000000, 0.000000, MPI_Comm_rank
State, rank38, STATE, 0.006109, 0.006597, 0.000488, 0.000000, MPI_Bcast
State, rank38, STATE, 0.006643, 13.768330, 13.761687, 0.000000, MPI_Scatter
State, rank38, STATE, 13.768331, 34.538912, 20.770581, 0.000000, MPI_Scatter
State, rank38, STATE, 37.134050, 56.956243, 19.822193, 0.000000, MPI_Gather
State, rank38, STATE, 56.956265, 58.979098, 2.022832, 0.000000, MPI_Finalize
State, rank37, STATE, 0.003894, 0.003895, 0.000001, 0.000000, MPI_Comm_size
State, rank37, STATE, 0.003896, 0.003896, 0.000000, 0.000000, MPI_Comm_rank
State, rank37, STATE, 0.003899, 0.016002, 0.012103, 0.000000, MPI_Bcast
State, rank37, STATE, 0.016043, 13.354813, 13.338771, 0.000000, MPI_Scatter
State, rank37, STATE, 13.354816, 34.130358, 20.775542, 0.000000, MPI_Scatter
State, rank37, STATE, 36.682818, 58.884210, 22.201392, 0.000000, MPI_Gather
State, rank37, STATE, 58.884227, 58.979100, 0.094873, 0.000000, MPI_Finalize
State, rank36, STATE, 0.004316, 0.004316, 0.000001, 0.000000, MPI_Comm_size
State, rank36, STATE, 0.004317, 0.004317, 0.000000, 0.000000, MPI_Comm_rank
State, rank36, STATE, 0.004321, 0.004755, 0.000435, 0.000000, MPI_Bcast
State, rank36, STATE, 0.004799, 12.941161, 12.936363, 0.000000, MPI_Scatter
State, rank36, STATE, 12.941162, 33.713169, 20.772006, 0.000000, MPI_Scatter
State, rank36, STATE, 36.140615, 57.320602, 21.179987, 0.000000, MPI_Gather
State, rank36, STATE, 57.320620, 58.979565, 1.658945, 0.000000, MPI_Finalize
